Unnamed: 0,length,condition,lat,lon,intersection,model_type,id,road,name,chainage,traffic,heavy_truck,heavy_truck_normalized,truck_generation_frequency,sink_selection_probability
1096,3.2,A,21.12253472,92.19296056,,bridge,11096,N1,,440.19821,5820.0,24.0,0.01972062448644207,,
1097,126.0,,21.1220523,92.19323876,0,link,11097,N1,,440.32421,5820.0,24.0,0.01972062448644207,,
1098,72.6,B,21.12156989,92.19351697,,bridge,11098,N1,,440.39681,5820.0,24.0,0.01972062448644207,,
1099,483.0,,21.12001542,92.1949046,0,link,11099,N1,,440.87981,5820.0,24.0,0.01972062448644207,,
1100,3.4,A,21.11846094,92.19629223,,bridge,11100,N1,,440.88321,5820.0,24.0,0.01972062448644207,,
1101,312.0,,21.11721764,92.19668336,0,link,11101,N1,,441.19521000000003,5820.0,24.0,0.01972062448644207,,
1102,2.8,A,21.11597435,92.19707449,,bridge,11102,N1,,441.19801,5820.0,24.0,0.01972062448644207,,
1103,191.0,,21.1152662,92.19754766,0,link,11103,N1,,441.38901,5820.0,24.0,0.01972062448644207,,
1104,12.8,B,21.11455805,92.19802083,,bridge,11104,N1,,441.40181,5820.0,24.0,0.01972062448644207,,
1105,410.0,,21.11322553,92.19930682,0,link,11105,N1,,441.81181,5820.0,24.0,0.01972062448644207,,
1106,1.2,A,21.11189301,92.2005928,,bridge,11106,N1,,441.81301,5820.0,24.0,0.01972062448644207,,
1107,124.0,,21.11135158,92.20134425,0,link,11107,N1,,441.93701,5820.0,24.0,0.01972062448644207,,
1108,1.2,A,21.11081015,92.20209569,,bridge,11108,N1,,441.93821,5820.0,24.0,0.01972062448644207,,
1109,104.0,,21.11034702,92.20273767,0,link,11109,N1,,442.04221,5820.0,24.0,0.01972062448644207,,
1110,1.2,A,21.10988389,92.20337965,,bridge,11110,N1,,442.04341,5820.0,24.0,0.01972062448644207,,
1111,193.0,,21.10932762,92.20410876,0,link,11111,N1,,442.23641,5820.0,24.0,0.01972062448644207,,
1112,2.8,A,21.10877134,92.20483787,,bridge,11112,N1,,442.23921,5820.0,24.0,0.01972062448644207,,
1113,160.0,,21.10854394,92.20508593,0,link,11113,N1,,442.39921000000004,5820.0,24.0,0.01972062448644207,,
1114,2.8,A,21.10831653,92.20533398,,bridge,11114,N1,,442.40201,5820.0,24.0,0.01972062448644207,,
1115,215.0,,21.10807492,92.20572064,0,link,11115,N1,,442.61701,5820.0,24.0,0.01972062448644207,,
1116,1.2,A,21.1078333,92.2061073,,bridge,11116,N1,,442.61821000000003,5820.0,24.0,0.01972062448644207,,
1117,295.0,,21.10656387,92.20675273,0,link,11117,N1,,442.91321000000005,5820.0,24.0,0.01972062448644207,,
1118,1.2,C,21.10529443,92.20739816,,bridge,11118,N1,,442.91441,5820.0,24.0,0.01972062448644207,,
1119,396.0,,21.103662,92.20766881,0,link,11119,N1,,443.31041,5820.0,24.0,0.01972062448644207,,
1120,34.2,A,21.10202957,92.20793946,,bridge,11120,N1,,443.34461,5820.0,24.0,0.01972062448644207,,
1121,189.0,,21.10130349,92.20825875,0,link,11121,N1,,443.53361,5820.0,24.0,0.01972062448644207,,
1122,3.0,A,21.10057741,92.20857805,,bridge,11122,N1,,443.53661,5820.0,24.0,0.01972062448644207,,
